LPG SUPPLY 2023,,,,,,,,,,,,,,,,,,
Country,Inhabitants,Consumption by households,Exports,Final consumption,Final energy consumption,Imports,Losses,Production,production from plants,production from refineries,Stock changes,Total energy supply LPG,Transfers and recycled,Year,Unit,% IMPORT,% REFINERY,% PRODUCTION
Nigeria,"218,541,212",1067.014,,1070.086,1070.086,528.88,,513.793,513.793,,-31.379,1074.052,,2023,"Metric tons,  thousand",50.7,0.0,49.3
Etiopia,"123,379,924",9.985,,9.985,9.985,9.078,,,,,-0.908,9.986,,2023,"Metric tons,  thousand",100.0,0.0,0.0
Regno Unito,"66,971,411",364.982,,364.982,364.982,364.982,,,,,,364.982,,2023,"Metric tons,  thousand",100.0,0.0,0.0
Sudafrica,"59,893,885",128.532,339.995,153.65,153.65,289.962,,188.636,,188.636,,138.603,,2023,"Metric tons,  thousand",60.6,39.4,0.0
Kenya,"54,027,487",291.857,,365.23,365.23,365.3,,,,,,365.3,,2023,"Metric tons,  thousand",100.0,0.0,0.0
Uganda,"47,249,585",22.216226,,35.83178,35.83178,35.831779,,,,,,35.831779,,2023,"Metric tons,  thousand",100.0,0.0,0.0
Sudan,"46,874,204",113,,175,175,52,,123,,123,,175,,2023,"Metric tons,  thousand",29.7,70.3,0.0
Angola,"35,588,987",450,1308.827,477.317,477.317,,,1786.144,1762.917,23.227,,477.317,,2023,"Metric tons,  thousand",0.0,1.3,98.7
Ghana,"33,475,870",151.19,1.91,315.13,315.13,295.27,,102,98.42,3.58,-8.02,403.38,,2023,"Metric tons,  thousand",74.3,0.9,24.8
Mozambico,"32,969,518",37,,49,49,62,,,,,13,49,,2023,"Metric tons,  thousand",100.0,0.0,0.0
Madagascar,"29,611,714",11.06,,16.06,16.06,19.9,,,,,3.84,16.06,,2023,"Metric tons,  thousand",100.0,0.0,0.0
Costa d'Avorio,"28,160,542",581.857,,658.337,658.337,633.144,,6.083,1.322,4.761,,639.227,,2023,"Metric tons,  thousand",99.0,0.7,0.2
Camerun,"27,914,536",92.794,,130.928,130.928,96.196,,34.732,34.732,,,130.928,,2023,"Metric tons,  thousand",73.5,0.0,26.5
