name,type,mt/y,b/d,percentage,link,coord
Dangote refinery,refinery,,,56.16200579,https://maps.app.goo.gl/5xJRdfvLZL6yU9qA6,"6.440920161507662, 3.990088919935208"
Port of Harri,port,,,4.628736741,https://maps.app.goo.gl/n9wGS7nzKsUcL6t99,"5.513214638255213, 5.721365635461584"
Port Harcourt,port,,,6.943105111,https://maps.app.goo.gl/ptEat2HYQMQgtHi59,"4.758107424698272, 7.0050042129176475"
Port of Lagos,port,,,17.06846673,https://maps.app.goo.gl/BEZJWdFwvWx9YUAB7,"6.456899797244659, 3.3706842307753395"
Ashtavinayak,onshore evacuation,76000,,2.374516334,https://maps.app.goo.gl/FLRZkgViR2kgruLK9,"5.727763794712989, 6.393507566948659"
Greenville,onshore evacuation,2000,,0.062487272,https://maps.app.goo.gl/9KPNHHZc7o9CSvyo8,"7.919574137909439, 8.320131638977289"
Oredo,onshore evacuation,246000,,7.685934451,https://maps.app.goo.gl/EwLGiwT4FK1dnxPQ7,"6.065037059364766, 5.58375227477062"
Kaduna refinery,refinery,40150,110000,1.254431985,https://maps.app.goo.gl/evpisyX5x73LbuEw5,"10.414984730328722, 7.485318339359971"
Poer Harcourt refinery,refinery,76650,210000,2.394824698,https://maps.app.goo.gl/6zAf2rxK2BwRSdxU7,"5.575608719697067, 5.714466072973334"
Warri refinery,refinery,45625,125000,1.425490892,https://maps.app.goo.gl/y9pbJBkjtwPusDrW9,"4.760798457746189, 7.106325634922183"
