Category,Pixel_X,Pixel_Y,Exact_Name,Exact_Lat,Exact_Lon,Completed,Notes,Exact_Name,Exact_Lat,Exact_Lon,Notes
Refineries,1086,258,Alijaili,16.6705,33.2481,True,Biggest of the Country. Disruptions due to war,Alijaili,16.6705,33.2481,Biggest of the Country. Disruptions due to war
Refineries,302,423,Monrovia,6.3347,-10.7968,True,Conex,Monrovia,6.3347,-10.7968,Conex
Refineries,625,340,Kaduna,10.415,7.4849,True,,Kaduna,10.415,7.4849,
Refineries,760,311,Djermaya,12.4137,15.099,True,,Djermaya,12.4137,15.099,
Refineries,969,332,,None,None,True,,,None,None,
Refineries,651,272,Zinder,14.1885,8.781,True,SORAZ,Zinder,14.1885,8.781,SORAZ
Refineries,1029,291,El Obeid,13.1893,30.2291,True,May be closed due to war,El Obeid,13.1893,30.2291,May be closed due to war
Refineries,718,631,Pointe-Noire,-4.7332,11.8483,True,CORAF,Pointe-Noire,-4.7332,11.8483,CORAF
Refineries,1001,790,Indeni,-13.0391,28.6796,True,https://maps.app.goo.gl/HyNjWVYuvQED35Kw5,Indeni,-13.0391,28.6796,https://maps.app.goo.gl/HyNjWVYuvQED35Kw5
Refineries,987,1062,Johannesburg Sasolburg,-26.8032,27.8553,True,Natref,Johannesburg Sasolburg,-26.8032,27.8553,Natref
Refineries,640,546,*error*,None,None,True,error,*error*,None,None,error
Refineries,640,566,,None,None,True,,,None,None,
